"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"108","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",6078,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",32,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"109","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",7721,"unknown/ no savings account","... < 1 year",1,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","no","GoodLoan"
"110","0 < =  ... < 200 DM",14,"existing credits paid back duly till now","business",1410,"500 < =  ... < 1000 DM",".. > =  7 years",1,"male : married/widowed","none",2,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"111","0 < =  ... < 200 DM",6,"delay in paying off in the past","business",1449,"100 < =  ... < 500 DM",".. > =  7 years",1,"male : divorced/separated","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"bank","own",2,"skilled employee / official",2,"none","yes","GoodLoan"
"112","... > =  200 DM / salary assignments for at least 1 year",15,"existing credits paid back duly till now","education",392,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"113","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","car (new)",6260,"... < 100 DM","4 < =  ... < 7 years",3,"male : single","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"114","no checking account",36,"critical account/other credits existing (not at this bank)","car (new)",7855,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",25,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"115","... < 0 DM",12,"existing credits paid back duly till now","radio/television",1680,"500 < =  ... < 1000 DM",".. > =  7 years",3,"male : married/widowed","none",1,"real estate",35,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"116","no checking account",48,"critical account/other credits existing (not at this bank)","radio/television",3578,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",1,"real estate",47,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"117","... < 0 DM",42,"existing credits paid back duly till now","radio/television",7174,"unknown/ no savings account","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",3,"if not A121/A122 : car or other, not in attribute 6",30,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"118","... < 0 DM",10,"critical account/other credits existing (not at this bank)","furniture/equipment",2132,"unknown/ no savings account","... < 1 year",2,"female : divorced/separated/married","co-applicant",3,"real estate",27,"none","rent",2,"skilled employee / official",1,"none","no","GoodLoan"
"119","... < 0 DM",33,"critical account/other credits existing (not at this bank)","furniture/equipment",4281,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",23,"none","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"120","0 < =  ... < 200 DM",12,"critical account/other credits existing (not at this bank)","car (new)",2366,"500 < =  ... < 1000 DM","4 < =  ... < 7 years",3,"male : divorced/separated","none",3,"if not A121/A122 : car or other, not in attribute 6",36,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"121","... < 0 DM",21,"existing credits paid back duly till now","radio/television",1835,"... < 100 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",25,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"122","no checking account",24,"critical account/other credits existing (not at this bank)","car (used)",3868,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",41,"none","rent",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"123","no checking account",12,"existing credits paid back duly till now","furniture/equipment",1768,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"124","... > =  200 DM / salary assignments for at least 1 year",10,"critical account/other credits existing (not at this bank)","car (new)",781,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",63,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"125","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","furniture/equipment",1924,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",3,"real estate",27,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"126","... < 0 DM",12,"critical account/other credits existing (not at this bank)","car (new)",2121,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",30,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"127","... < 0 DM",12,"existing credits paid back duly till now","radio/television",701,"... < 100 DM","1 < =  ... < 4 years",4,"male : married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"128","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","repairs",639,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",30,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"129","0 < =  ... < 200 DM",12,"critical account/other credits existing (not at this bank)","car (used)",1860,"... < 100 DM","unemployed",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",34,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"130","... < 0 DM",12,"critical account/other credits existing (not at this bank)","car (new)",3499,"... < 100 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","co-applicant",2,"real estate",29,"none","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"131","0 < =  ... < 200 DM",48,"existing credits paid back duly till now","car (new)",8487,"unknown/ no savings account","4 < =  ... < 7 years",1,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",24,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"132","... < 0 DM",36,"delay in paying off in the past","education",6887,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",29,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"133","no checking account",15,"existing credits paid back duly till now","furniture/equipment",2708,"... < 100 DM","... < 1 year",2,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",27,"bank","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"134","no checking account",18,"existing credits paid back duly till now","furniture/equipment",1984,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",47,"bank","for free",2,"skilled employee / official",1,"none","yes","GoodLoan"
"135","no checking account",60,"existing credits paid back duly till now","radio/television",10144,"100 < =  ... < 500 DM","4 < =  ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",21,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"136","no checking account",12,"critical account/other credits existing (not at this bank)","radio/television",1240,"unknown/ no savings account",".. > =  7 years",4,"female : divorced/separated/married","none",2,"real estate",38,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"137","no checking account",27,"delay in paying off in the past","car (used)",8613,".. > =  1000 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",27,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"138","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","radio/television",766,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",4,"male : single","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"139","0 < =  ... < 200 DM",15,"critical account/other credits existing (not at this bank)","radio/television",2728,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","guarantor",2,"real estate",35,"bank","own",3,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"140","... > =  200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","radio/television",1881,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",44,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"141","... > =  200 DM / salary assignments for at least 1 year",6,"existing credits paid back duly till now","car (new)",709,".. > =  1000 DM","... < 1 year",2,"male : married/widowed","none",2,"real estate",27,"none","own",1,"unemployed/ unskilled - non-resident",1,"none","no","GoodLoan"
"142","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","radio/television",4795,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"unknown / no property",30,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"143","... < 0 DM",27,"existing credits paid back duly till now","radio/television",3416,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",27,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"144","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2462,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",22,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"145","no checking account",21,"critical account/other credits existing (not at this bank)","furniture/equipment",2288,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
